原始项目名称,原始申报地区,原始批次,原始类别,来源类型,来源说明,清洗动作,坐标处理说明,关键词处理说明,清洗后项目名称,清洗后省级地区,清洗后地级/县级地区,清洗后批次,清洗后类别,经度,纬度,视觉关键词
蔚县剪纸,张家口蔚县,第一批,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,蔚县剪纸,河北,张家口蔚县,第一批,传统美术,114.59,39.84,窗花;戏曲人物;套色
丰宁满族剪纸,承德丰宁满族自治县,第一批,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,丰宁满族剪纸,河北,承德丰宁满族自治县,第一批,传统美术,116.65,41.21,满族纹样;动物;红黑对比
中阳剪纸,吕梁中阳县,第一批,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,中阳剪纸,山西,吕梁中阳县,第一批,传统美术,111.18,37.36,黄土高原;民俗窗花;阳刻
医巫闾山满族剪纸,锦州市,第一批,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,医巫闾山满族剪纸,辽宁,锦州市,第一批,传统美术,121.13,41.10,满族信俗;山地纹样;剪影
扬州剪纸,扬州市,第一批,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,扬州剪纸,江苏,扬州市,第一批,传统美术,119.42,32.39,细腻线条;花鸟;江南雅韵
乐清细纹刻纸,温州乐清市,第一批,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,乐清细纹刻纸,浙江,温州乐清市,第一批,传统美术,120.97,28.12,细纹;刻纸;海洋纹样
广东剪纸,佛山汕头潮州,第一批,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,广东剪纸,广东,佛山汕头潮州,第一批,传统美术,113.26,23.13,岭南花鸟;金箔;喜庆
傣族剪纸,德宏芒市,第一批,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,傣族剪纸,云南,德宏芒市,第一批,传统美术,98.58,24.43,佛寺;孔雀;贝叶文化
安塞剪纸,延安安塞区,第一批,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,安塞剪纸,陕西,延安安塞区,第一批,传统美术,109.33,36.86,陕北窗花;生命树;民歌意象
广灵染色剪纸,大同广灵县,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,广灵染色剪纸,山西,大同广灵县,第二批扩展,传统美术,114.28,39.76,染色;多彩;民俗故事
和林格尔剪纸,呼和浩特和林格尔县,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,和林格尔剪纸,内蒙古,呼和浩特和林格尔县,第二批扩展,传统美术,111.82,40.38,草原纹样;动物;民俗
庄河剪纸,大连庄河市,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,庄河剪纸,辽宁,大连庄河市,第二批扩展,传统美术,122.97,39.68,海滨民俗;花鸟;农耕
岫岩满族剪纸,鞍山岫岩满族自治县,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,岫岩满族剪纸,辽宁,鞍山岫岩满族自治县,第二批扩展,传统美术,123.29,40.29,满族图腾;山林;对称
建平剪纸,朝阳建平县,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,建平剪纸,辽宁,朝阳建平县,第二批扩展,传统美术,119.64,41.40,辽西民俗;粗犷线条;窗花
新宾满族剪纸,抚顺新宾满族自治县,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,新宾满族剪纸,辽宁,抚顺新宾满族自治县,第二批扩展,传统美术,125.04,41.73,满族祖源;祭祀;对称纹
长白山满族剪纸,通化市,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,长白山满族剪纸,吉林,通化市,第二批扩展,传统美术,125.94,41.73,长白山;满族;山林动物
